a,b,temp,param
0.349750876541441,-0.0115159451240500,15,DAnsm
-0.0989528830094047,0.0135705526611111,15,DAasi
0.554859360339013,-0.0144396954427216,15,DAadf
-0.023712470254669916,0.005159795049446703,15,TAnsm
0.3503193664399876,-0.002131825563757062,15,TAasi
1.0358311015900443,0.006936397774984968,15,Snsm
0.6844192557890019,0.006488177524637086,15,Sasi
0.9791274616815551,0.005461788532999997,15,Sadf
0.337178282990209,-0.00841564867611577,20,DAnsm
0.232234994910926,0.00693106178412086,20,DAasi
0.539922702090816,-0.0112317960967122,20,DAadf
0.03295305165318492,0.004692796478543393,20,TAnsm
0.13994587589774735,-0.0006356678519584981,20,TAasi
1.0153470812899776,0.01126106066669122,20,Snsm
0.5599310912931956,0.00562910492436057,20,Sasi
0.9627034704249527,0.008350374606685713,20,Sadf
0.547737224707466,-0.0177048984681762,25,DAnsm
0.387889202129538,0.00727579660372113,25,DAasi
1.04675187191260,-0.0280056174756126,25,DAadf
0.07642973030329264,-0.00043300408823953966,25,TAnsm
0.1245407963731065,-0.00081224509463808,25,TAasi
0.946563316075601,0.00847214075202614,25,Snsm
0.27287826151212863,0.0035329930893554505,25,Sasi
0.8837743602727095,0.009231882413764455,25,Sadf
