a,b,food,param
0.137258473372945,0.0132204002460785,1e0,DAnsm
-0.826966959741214,0.0495565139416001,1e0,DAasi
-0.275786139146521,0.0474099836849474,1e0,DAadf
-0.11743475053452812,0.00762012227679346,1e0,TAnsm
0.6443404194090532,-0.021811798300840943,1e0,TAasi
1.1982074222406967,-0.009992183737149673,1e0,Snsm
1.3875210719846636,-0.04334913708045228,1e0,Sasi
1.0816480726327904,-0.007093286302762607,1e0,Sadf
-0.392345025099480,0.0325558512046743,1e2,DAnsm
-0.439319477027489,0.0366288494941175,1e2,DAasi
-0.256211771612236,0.0432221059539857,1e2,DAadf
-0.05260257434911615,0.006172277443966916,1e2,TAnsm
0.5606014419530975,-0.019400214021836143,1e2,TAasi
1.1788565058126934,-0.002852778549684274,1e2,Snsm
1.459764768292926,-0.0442489594248498,1e2,Sasi
1.298956442204998,-0.009135144153797228,1e2,Sadf
-0.111771744886402,0.0140719747547794,1e4,DAnsm
-0.272728415139719,0.0338874094085247,1e4,DAasi
0.181406595919279,0.0112834901280983,1e4,DAadf
-0.04890794048044886,0.005957244077365988,1e4,TAnsm
0.5788338575595782,-0.020690784560901853,1e4,TAasi
1.3158234077539241,-0.007301941541682595,1e4,Snsm
1.3794096376156793,-0.040494097238807286,1e4,Sasi
1.3725098417255093,-0.013854422174317165,1e4,Sadf
0.0896981705676591,0.00318766100946135,1e6,DAnsm
-0.375010511200585,0.0394920091114514,1e6,DAasi
-0.209101218792057,0.0242371957521247,1e6,DAadf
0.12668668891244902,-0.00266126042848855,1e6,TAnsm
0.7670129710402688,-0.028057122511195055,1e6,TAasi
1.3123581796537485,-0.004135808996998094,1e6,Snsm
1.524483598730105,-0.046370252058636936,1e6,Sasi
0.8159330276785476,0.009242515631242582,1e6,Sadf
0.110082261334786,0.000416383085918284,1e8,DAnsm
-0.320212529559668,0.0334400282864820,1e8,DAasi
-0.120195514156649,0.0186347616337080,1e8,DAadf
0.24351245677589373,-0.005989153507507048,1e8,TAnsm
0.5656971480560141,-0.01850715559223417,1e8,TAasi
1.254810279631176,-0.00354992662547545,1e8,Snsm
1.483286127766847,-0.04410537032391829,1e8,Sasi
1.0368934306437039,0.0022945655321242953,1e8,Sadf
0.243883582746827,-0.00629813555672474,1e10,DAnsm
-0.389550889571336,0.0364090451916245,1e10,DAasi
-0.0195667845591704,0.0152408142857623,1e10,DAadf
0.24509666960505272,-0.006714302097389311,1e10,TAnsm
0.4407879663875748,-0.013857962652766922,1e10,TAasi
1.3861108850555155,-0.010433099105404721,1e10,Snsm
1.846668501032546,-0.05778836364309726,1e10,Sasi
1.2035656170769522,-0.0011185744367651295,1e10,Sadf
